"family_name","var_name","processing","description_short","source"
"Public Human Resource Management Institutions","Access to state jobs by socio-economic position",NA,"Captures if state jobs are equally open to qualified individuals regardless of socio-economic position","V-Dem, Variety of Democracy database"
"Justice Institutions","Judicial accountability",NA,"Measures whether judges are removed from their posts or disciplined when found responsible for serious misconduct","V-Dem, Variety of Democracy database"
"Justice Institutions","Independent judiciary",NA,"Measures the independence of the judiciary (i.e. the ability and autonomy to interpret and review existing law, pursue its own reasoning free from the influence of political decision-makers or powerful groups and individual, etc)","Bertelsmann Transformation Index"
"Justice Institutions","High court independence",NA,"Measures whether the judicial system's high court makes decisions that merely reflect government wishes or its sincere view of the legal record","V-Dem, Variety of Democracy database"
"Justice Institutions","Judicial branch corruption",NA,"Measures whether judicial officials refrain from soliciting and accepting bribes to perform duties and whether the judiciary is free of improper influence by the government, private interests, or criminal organizations.","World Justice Project, Rule of Law"
"Justice Institutions","Lower court independence",NA,"Measures whether the decisions of judges on the high court reflect their sincere view of the legal record rather than the government's wishes","V-Dem, Variety of Democracy database"
"Justice Institutions","Fair trial",NA,"Measures the extent to which citizens have a right to a fair trial in practice, are not subject to arbitrary arrest, the right to reocgnition as a person before the law, and other civil liberties.","Global State of Democracy"
"Justice Institutions","Expropriation without lawful process and adequate compensation",NA,"Measures whether the government respects the property rights of people and corporations, refrains from the illegal seizure of private property, and provides adequate compensation when property is legally expropriated","World Justice Project, Rule of Law"
"Justice Institutions","Due process of law and rights of the accused",NA,"Measures whether the basic rights of criminal suspects are respected, including the presumption of innocence and the freedom from arbitrary arrest and unreasonable pre-trial detention","World Justice Project, Rule of Law"
"Justice Institutions","Alternative dispute resolution mechanisms",NA,"Captures the accessibility, impartiality, and effectiveness of alternative dispute resolution mechanisms","World Justice Project, Rule of Law"
"Justice Institutions","People can access and afford civil justice",NA,"Captures whether people can access and afford civil justice as well as whether it is free of discrimination, improper government influence, and unreasonable delays","World Justice Project, Rule of Law"
"Justice Institutions","Civil justice is effectively enforced",NA,"Measures the effectiveness and timeliness of the enforcement of civil justice decisions and judgments in practice","World Justice Project, Rule of Law"
"Justice Institutions","Civil justice is not subject to unreasonable delays",NA,"Measures whether civil justice proceedings are conducted and judgments are produced in a timely manner without unreasonable delay","World Justice Project, Rule of Law"
"Justice Institutions","Criminal adjudication system is timely and effective",NA,"Captures the effectiveness and timeliness of the criminal investigation system is effective","World Justice Project, Rule of Law"
"Justice Institutions","Criminal investigation system is effective",NA,"Measures whether perpetrators of crimes are effectively apprehended and charged as well as whether police, investigators, and prosecutors have adequate resources","World Justice Project, Rule of Law"
"Justice Institutions","Criminal system is impartial",NA,"Measures whether the police and criminal judges are impartial and whether they discriminate in practice based on socio-economic status, gender, ethnicity, religion, national origin, sexual orientation, or gender identity","World Justice Project, Rule of Law"
"Justice Institutions","Access to justice for men",NA,"Measures the extent to which men can bring cases before the courts without risk to their personal safety, trials are fair, and men have effective ability to seek redress if public authorities violate their rights","V-Dem, Variety of Democracy database"
"Justice Institutions","Access to justice for women",NA,"Measures the extent to which women can bring cases before the courts without risk to their personal safety, trials are fair, and women have effective ability to seek redress if public authorities violate their rights, including the rights to counsel, defense, and appeal","V-Dem, Variety of Democracy database"
"Business Environment","Property rights",NA,"Measures whether citizens enjoy the right to private property","V-Dem, Variety of Democracy database"
"Business Environment","Competition policy",NA,"Captures if free and fair competition is guaranteed by an institutional framework that ensures unrestricted participation in the market and a level playing field for all market participants.","Bertelsmann Transformation Index"
"Business Environment","Regulatory enforcement",NA,"Captures whether government regulations are effectively enforced without improper influence and unreasonable delays","World Justice Project, Rule of Law"
"Business Environment","Efficiency of the clearance process",NA,"Measures the efficiency of customs clearance processes (i.e. speed, simplicity and predictability of formalities) by border control agencies","Logistics Performance Index"
"Business Environment","Bank concentration (%)","Invert. 100 - X","Measures the assets of the three largest commercial banks as a share of total commercial banking assets","GFDB"
"Business Environment","Women, business and law entrepreneurship index",NA,"Measures constraints on women sarting and running businesses","WBL"
"Public Finance Institutions","Fiscal stability",NA,"Measures the extent t which the government’s budgetary policies support fiscal stability","Bertelsmann Transformation Index"
"Public Finance Institutions","Debt transparency index",NA,"Measures the World Bank's debt reporting heatmap sub-components related to debt statistics, availability of financial terms on new loans, and publication of DMS and ABP","CLIAR (Debt Transparency)"
"Public Finance Institutions","Pfm management information systems","Sum of GTMI_I 5, 6, 7, 8, 12, 13 and 14. Rescaled from 0 to 1.","Measures whether there is an operational FMIS, a TSA, a Tax MIS, a Customs MIS, a DMS, a PIMS, and e-procurement in place","CLIAR (WB API)"
"Public Finance Institutions","Budget documentation",NA,"PI-5. Measures the comprehensiveness of information provided in the annual budget documentation as measured against a specified list of basic and additional elements","Public Expenditure Financial Accountability"
"Public Finance Institutions","Transfers to subnational governments",NA,"PI-7. Measures the transparency and timelines of transfers to subnational governments","Public Expenditure Financial Accountability"
"Public Finance Institutions","Performance information for service delivery",NA,"PI-8. Captures the service delivery performance information","Public Expenditure Financial Accountability"
"Public Finance Institutions","Fiscal risk reporting",NA,"PI-10. Captures the extent to which fiscal risks to central government are reported","Public Expenditure Financial Accountability"
